inkonsistensi, konsistensi
garap, membiarkan
berdampingan, berjauhan
pekat, encer
sombong, rendah, hati
provinsialisme, nasionalisme
kecurangan, kejujuran
serong, tegak
keberadaan, ketiadaan
aktif, pasif
rangkai, pisah, lepas
ekonomis, boros
mendatangi, meninggalkan
keberagaman, keseragaman
acak, tertentu
tumpul, tajam
kecelakaan, keselamatan
bermesra, berselisih
mengajar, mempelajari
primitif, modern
menolong, membiarkan
plus, minus
membenci, menyukai
intrinsik, ekstrinsik
duka, gembira
ciprat, mengguyur
melemah, menguat
mengencangkan, melambatkan
penat, bugar
balela, mematuhi
puan, tuan
labil, stabil
puas, kecewa
cekcok, rukun
luwes, kaku
kejujuran, kecurangan
terbanyak, tersedikit
berpencaran, berhimpun, bersatu
mengatur, merusak
menandangi, meninggalkan
tersisih, terpilih
nona, tuan
baka, fana
tepat, salah
tarik, tolak
renggang, rapat
multiplisitas, kehomogenan
lokal, internasional
menyerang, menahan
fardu, sunah
transparan, gelap, tertutup
waspada, lalai
kelenturan, kekakuan
fenomenal, modern
sukacita, dukacita
mungkir, patuh, setia
berhijrah, menetap
tikai, damai
selalu, berubah, fana
membesar, mengecil
meninggi, merendah
berada, miskin
memanjang, memendek
pegang, melepas
apes, mujur
purnakaryawan, karyawan
berantak, merapikan
distributor, pengecer
hulu, hilir
pengharaman, penghalalan
rumit, gampang, mudah
manfaat, mudarat, rugi
meningkat, menurun
sembrono, teliti
mengadakan, meniadakan
cenderung, ringan
mematuhi, melanggar
paradoksal, konsisten
bineka, tunggal
pemanas, pendingin
gesit, lamban
puji, mencela
aneka, tunggal
membolehkan, melarang
senior, junior
menghebat, mereda
lempeng, belok
masak, mentah, muda
tengah, pinggir
persepakatan, pertentangan
kepelikan, kemudahan
istri, suami
mapan, goyah
sambutan, tolakan
ganti, tetap, tetap, pakai
melengserkan, melantik
mendekatkan, menjauhkan
mendempet, merenggang
pilon, cerdas
randa, duda
pencopotan, pelantikan
semacam, aneka
beragama, ateis
ya, bukan, tidak
sejahtera, menderita
tebus, menggadai
mancung, pesek
mencampur, memisah
makrokosmos, mikrokosmos
berjalur-jalur, polos
menggampangkan, mempersulit
memarani, menjauhi
tangis, tawa
tipis, tebal
pemecatan, pengaktifan
om, tante
rumpil, mudah, gampang
mengacuhkan, mengabaikan
bersedih, bergembira
penyetoran, peminjaman
terputus, tersambung
subordinat, atasan
kemajuan, kemunduran
elastisitas, kekakuan
kesesuaian, ketimpangan
mendongak, menunduk
bapak, ibu
pesek, mancung
berdamai, bermusuhan
kesengsaraan, kesenangan
berbaikan, bermusuhan
mempertemukan, perpisahan
stimulus, respons
tampak, gaib, tenggelam
rata, bergelombang
sua, berpisah
tekuk, meluruskan
pembeli, penjual
produsen, konsumen
keramaian, keheningan
kembung, kempis
mandiri, bergantung
tiruan, asli
perjumpaan, perpisahan
setinggi-tingginya, serendah-rendahnya
gusur, membangun
minor, mayor
sinting, waras
mengagung-agungkan, merendahkan
tolakan, dorongan
kecil, besar
kebohongan, kejujuran
pengikut, musuh
sangsi, yakin
nanti, sekarang, kini
membangkitkan, menidurkan
mengetepikan, mengetengahkan, mengutamakan
konotasi, denotasi
hening, bising, riuh
gagap, lancar
gagal, berhasil
edan, waras
menidakkan, mengiyakan
ringan, berat
indisiplin, disiplin
menyebar, menyatu
semrawut, rapi
mama, papa
usir, mengundang
tidak, ya
saya, kamu, engkau
pemasukan, pengeluaran
murung, senang, hati
mencopoti, memasangi
donor, penerima
menghentikan, menjalankan
aman, huru-hara
jawab, tanya
melekatkan, melepaskan
keguyuban, keretakan
purba, modern, sekarang
pengiritan, pemborosan
penampungan, pembuangan
deklinasi, inklinasi
murup, padam, sirep
baru, lama
biadab, beradab
tajam, tumpul
difusi, pengumpulan
keketatan, kelonggaran
kemudahan, kesulitan, kesukaran, kesusahan
menyarungkan, mengeluarkan, mendedahkan
serbu, menahan
pakem, blong
cowok, cak, cewek
pemboros, pelit
nahas, beruntung
menangkupkan, menelentangkan
kepuasan, kekecewaan
superioritas, inferioritas
anteng, jahil, lasak
penceramah, pendengar
miring, tegak, waras
nakal, alim, patuh
wajib, sunah
sirna, muncul
menunaikan, mencicil
kempis, kembung
uzur, belia
memulai, mengakhiri
mencampurkan, memisahkan
eksklusif, inklusif
untung, rugi
menanjak, menurun
selamat, celaka
keaiban, kemuliaan
pengetes, teruji
rekrut, memecat
membanyak, menyedikit
rujuk, cerai
penduduk, pendatang
terbit, tenggelam
tewas, hidup, cak, menang
fleksibilitas, kekakuan
persetujuan, penolakan
junior, senior
seteru, sahabat
sejati, palsu
berteman, bermusuhan
meluas, menyempit
maksimum, minimum
penghukuman, pembebasan
bantah, menurut
awut, mengatur
pemuda, pemudi
kematian, kehidupan
celik, tidur
degradasi, gradasi
berlaga, berdamai
usah, biar
inefisiensi, efisiensi
awut-awutan, rapi, hati-hati
kepapaan, kekayaan, kemewahan
sopan santun, songong
bermusuhan, berteman, bersahabat
pujian, celaan
mencermatkan, memboroskan
telat, tepat
telah, belum
telan, memuntahkan
reda, ribut
keaktifan, kepasifan
pemencaran, penghimpunan
penebus, penggadai
ambil, simpan
mencong, tegak
menghembus, mengisap
rapi, berantakan
serial, lepas
cenangga, normal
destruksi, pembangunan
menanam, menggali
protagonis, antagonis
banyak, sedikit
cembung, cekung
lanjut, muda, tunda
suram, terang
heboh, tenang
ragu-ragu, yakin
pembekuan, pencairan
artifisial, asli, tulen
tenang, bising, pemarah, rusuh
cair, beku, pekat
tertangkap, terlepas
pemungkas, pembuka, prolog
penaikan, penurunan
bercuti, bertugas
sial, mujur
tugas, pensiun
mandul, fertil, subur
debitor, kreditur
kewaspadaan, kelalaian
bersungguh-sungguh, bermain-main
sekejap, lama
tertib, berantakan
menyita, memberi
tidur, terjaga
bacin, wangi
inkonsisten, konsisten
kehalusan, kekasaran
menangis, tertawa
sebal, mujur
nirwana, neraka
keraguan, keyakinan
mengangah, padam
tangkis, menyerang
teliti, ceroboh
kelemahan, kelebihan
berkah, musibah
pedagang, pembeli
kesulitan, kemudahan
tangkas, lamban
menurunkan, menaikkan
purna, pra
menyatukan, memisahkan
keanekaan, ketunggalan
mustahil, munasabah
penganggur, pekerja
universal, lokal
pengap, berangin
berdinas, pensiun
pemborosan, pengiritan
tekun, main-main
bengkalai, memedulikan
pertanyaan, jawaban
memelihara, membiarkan
menanggapi, membiarkan
curiga, percaya
ekstensif, parsial
pendatang, pribumi
cuma-cuma, bayar
serba, sama
tertagak-tagak, tergesa-gesa
menghujat, memuji
sunyi, ramai
penyeragaman, penganekaragaman
aktual, abstrak, basi, lama
bohong-bohongan, asli
menghunjamkan, menghunuskan
ganjil, genap
melek, buta, huruf, niraksara
dempet, renggang
fleksibel, kaku
preskriptif, deskriptif
berantakan, rapi
tamat, mulai
bahari, modern
memunguti, menaburi
belok, lurus
penceraian, penyatuan
spesial, biasa, umum
tergabung, terpisah
menegah, mengizinkan, membebaskan
mendaifkan, memuliakan
penyayang, pembenci
militer, sipil
bahagia, sedih
